"Member","Name","Image","Staked (ROAR)","Voting power"
"terra1vklefn7n6cchn0u962w3gaszr4vf52wjvd4y95t2sydwpmpdtszsqvk9wy","","/placeholders/4.svg","128767714019.471861","58.00972836788978"
"terra1nrt0tcqc3kazztzfhyd2pf9q59p49ywu9g36w8","","","60002000000","27.030841915884146"
"terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw","","","1659342687.514719","0.7475322467665864"
"terra1d0zzmhwgs79u7fr98sgnmp7f9t2x2wj6mmnu2s","","/placeholders/4.svg","1420582424.875485","0.6399709835554248"
"terra1d73fvpwm8stsy5y9epfn6fedm74egn2d85xg7t","","","1134391728.35272","0.5110423565845966"
"terra1vlwmp6e2waq24rmt72vwjy0kkn8u0tcjvavzuq","","","1128179798.908199","0.508243888486742"
"terra1vtqmqst4dnkyt6ajfpzlyd48jsel9cvy2myq6j","","","1100000000","0.4955489168273151"
"terra1gp88fnzd4uvk4t5plagz762a29f88qgew3kfa2","MojoStudio","ipfs://bafkreibfddgcw7yvdjgtopyyqxtogv3drz5o4imxku7i5flmwh7b4eoi5m","1063950155.126578","0.47930849721020874"
"terra1w7ayljrk3hf9xnvsg042l2vdyuyptd7wf2rpx8","","","1045443407.629053","0.47097122568621314"
"terra1l0jeppq8v3rt6dxhch5m4ydcmgfmvpxl59mhll","","","1034769178.809591","0.4661624961139847"
"terra1xaujrunqtuxhpvr0hc8ky7tmg4cjm8sg4as6w5","","","1008811266.920754","0.4544684823688828"
"terra1x0d0pp36t00k7nhcrwhm9h8jj7d2f76n8aydgz","","/placeholders/2.svg","1000000000.33195","0.4504990154471023"
"terra157ynvwu6p8sdsznvp39fwcy7xfjxpmv6th3vd7","","/placeholders/4.svg","1000000000","0.4504990152975592"
"terra17n9hcuath7awhdlm5cx845202hatf7gmz227uw","","/placeholders/3.svg","1000000000","0.4504990152975592"
"terra1r4xkt78nyz22v37dsxc3ff24ecmhmnm48kfzjj","","","1000000000","0.4504990152975592"
"terra1sffd4efk2jpdt894r04qwmtjqrrjfc52tmj6vkzjxqhd8qqu2drs3m5vzm","","","1000000000","0.4504990152975592"
"terra1694vlvw9m2cayk6dq4pg25xyz0uuv4fcs97g5k","","","877440762.370959","0.39528619943005666"
"terra1x2rutlpugtxllqkn7ehxcu77r8qeydp26rerzn","","","729758555.928798","0.3287555108508923"
"terra1lslaktm620qaqpu6qx0s5k5q7adsvw5jvndzaf","","","693830595.277318","0.3125699999557511"
"terra1kknt9fkk79d7hk3xpe3jv2j42fnlvpfflg4aht","","","602708952.035133","0.27151978940285126"
"terra146rmw8qdyf06q0adm9etmauahlss2czqgpccp6","","","600000000","0.2702994091785355"
"terra14tdsywzgsqd3kctlvyx6nz0dyhdeuypx7keleg","","","548631746.218749","0.2471580614325268"
"terra12uxkacq0cuj7r8nqrgqxyx6pxfduy46qphjhu9","","","500000000","0.2252495076487796"
"terra1ues856elgspt5qhrzeks8jryd3a7jjyxxh4qap","","","500000000","0.2252495076487796"
"terra1hzyzys3s7s7xsls5gvsta3z3ylcy7fjcnpgmas","","","443103866.328224","0.1996178554554062"
"terra1nap4h4wz86cens8lvnu2kr2lrd463thgjffjl4","","","436335560.880569","0.1965687405160045"
"terra15rxcrh6jde9gyj8ht8kkmkj5h32d2kfk22ezgy","","","407515834.224808","0.18358548203643937"
"terra15rrtnfddzmarc65f7qztwvjrenpu4lgmhmj9pa","LOTOX","/placeholders/2.svg","360000000","0.1621796455071213"
"terra13qjxhnw98lm36rxc9yjakkmulhpv7zctdc5zlz","","","344473134.625642","0.15518480794531525"
"terra1fye4el7alj0zekd5eqr29053unqqwjhaymnng3","","","319334203.571022","0.1438597442595757"
"terra1s0xk5m95ldmsqnyq6qh2h0nlyqtkwzu45y55x5","","/placeholders/4.svg","311773527.243924","0.1404536670192345"
"terra1004ntprq3wc26u9sz2fjmsx2twhuaxnpktvq88","","","288972094.012082","0.13018164380091665"
"terra1ajxjcuft62qesn0c6en63vsl4l4aptl884mxz4","","","277526668.824373","0.12502549102419186"
"terra1rk6hzjndt6wtpgc846gystt5604ykgua4lrsxh","","","260734107.948191","0.11746045888514754"
"terra15zpetcnjmg5p53na6rvyp6vvm7gnf0qcfrn8p9","","","256279264.660045","0.11545355637053283"
"terra1g655nxkfvgaayk0yw99zykgeezvyd2w5n4khyr","","","250000000","0.1126247538243898"
"terra15xwsmwc0elma7g45pmy7gy87u72cp8nmf8sny7","","","249998169","0.11262392896069279"
"terra1lc43y5407lus9s9tw9yq4qwdq4cgjs33p6fr7c","","","235000000","0.10586726859492641"
"terra1zsqu60y738u0jgk36sdrptq44ejke6a7e392sd","","","209466364.747093","0.09436439105652476"
"terra1d86390xulw7vj2a8d8nqz75pjznuakxlyjn7z0","","/placeholders/5.svg","193961300.597315","0.08737937492492429"
"terra12hdw3zhlgvfjhwefwh6tfq2wu3vs66p62rf7ws","","","180000000","0.08108982275356065"
"terra1c2l59crjqf0k8a8uhmhrajtw0tnk3430shcndh","","","157760678.050467","0.07107103011441064"
"terra1cx8j8aym6lnj5z7m6xm6hd06jxzt9xpdyhryfq","","/placeholders/1.svg","150000000","0.06757485229463388"
"terra1q0tfewa60enuu8utyjs9w7um58njhd7fn2p7d3","SpaceToadCapital","ipfs://QmfF6WHUyzFzGnPcafcoLUwLakwi5UijUpVBVxdTqiS1Mn","143000000","0.06442135918755096"
"terra10j6ml4p36srdfzdf4zys389fvrm0qrfnsmkxz5","","/placeholders/4.svg","140642948.627724","0.06335950986533487"
"terra1yyzs9l06uz3uxak8dksts40jt04fh8rjv6y4uc","","","133778379.27351","0.060267028130819654"
"terra1zgllgkux94tdqpuufn5cedmrk98qtdcmwhy7ts","","","133742260.794039","0.060250756791383926"
"terra13lzly6934ymemk6k3tzvlu3tl7v7gzq39auhfu","","","132860516.781502","0.05985353198199149"
"terra1u6t4v60y4cu2p4x53zdyr93r42elxj4xwmh7g3","","","129929224.839271","0.05853298784846675"
"terra1nfyqj9s0sul2qc3d67ylrfl8jg2z3up067hdg8","","","125628371.49229","0.0565954576507126"
"terra1ah5hkf3afprw7pyftpynq5lggcccr3tmkgpltc","","","124923927.227687","0.056278106203176935"
"terra14sel4a2dm5a986dgf6wvkzk2lqfq3me72v8fy7","","","120000000","0.054059881835707105"
"terra1xjhz9r93m2crchpwgya8vf5d9y2kd0h50vwwtf","","","116783660.572013","0.05261092409053624"
"terra10pa0qv7mrqst053zhv9hxxt9mwhmr45ggguygs","","","115187764.899962","0.051891974661759634"
"terra1qgnzhadyj3cqvk8jrtptcmvsjjywncnj4ada3d","","","113996946.216233","0.05135551201734178"
"terra1a8gx9m553deeajj8jcdlp37tgwqyy2c02z8u94","","","112500000","0.050681139220975405"
"terra1zzzh8fmjllwn4xwrrft6es9dnrlv9axaklf0yy","","","110170753.514547","0.04963181597289353"
"terra12ju9wyjjlmhlvpvuzl793z0dedwk3h7uye5ms3","","","110000000","0.04955489168273151"
"terra1s3c8p4my6vd6wptpms305mscahdea7mukju4ac","","","109662331.675859","0.04940277243520881"
"terra1ur6629jtzrk7fr94vlg9dythm5nnukay7m00sv","","","108812859.966851","0.04902008626677758"
"terra1qghactqzymfyep4r2lvu3zfzs5eswz39vymlwe","","/placeholders/5.svg","108793468.405751","0.04901135038759694"
"terra1u5mrfn4kjk0kaa26p6a8vu8kdra8phucdxamdg","","","108037607.581821","0.04867083583071447"
"terra1dve8zlfxlwajnw4gxkd5540mr95wxjm3eeckep","","","105861354.87794","0.047690436130577434"
"terra1dzyq59pa06al3dph3vax096m2ctpg67nlyk9xx","","","103423631.414548","0.04659224411075158"
"terra1hch3fmt0kk2verlk26srsy67x8gr920j5cll3g","","/placeholders/5.svg","101965599.140581","0.04593540200705739"
"terra1aewzxqges8n8p5f0u0sve4w6gktlnkkjjkre43","","","101310884.808457","0.04564045384513433"
"terra18au39029aa4mey00fap4l74c936l8efjuqhf6u","","","100801566.216324","0.04541100632090567"
"terra1wxc4ufxg48h56kqhaaegzljjmup53rjxj70y5t","","","100000001","0.045049901980254936"
"terra1uavhv6xv2dteaf3f43msqcu3j3l80p63xz6geq","","","100000000.767252","0.04504990187540219"
"terra1n75apcsmzejuwu6qn2zath5maaw83d0s4gmx4j","","","100000000.216954","0.045049901627493484"
"terra14adge4r5tvuvqjuvd66kgupmee8l39wnna2lg3","","","100000000","0.045049901529755916"
"terra16cemgtx5cwuxzfprp7zg96pmkpkhzzyf8gav4r","","","100000000","0.045049901529755916"
"terra19q738dza6ajflhc4vuqvv0ffjp5hcwyu5f0v6z","","","100000000","0.045049901529755916"
